recorded_on,subject_date_or_target,subject,status,my_note,source_url
2001-10-23,2001-11-10,iPod,planned availability,My first iPod availability target,https://www.apple.com/newsroom/2001/10/23Apple-Presents-iPod/
2002-07-17,2002-08,Windows iPod,planned availability,Late August target; Musicmatch software,https://www.apple.com/newsroom/2002/07/17Apple-Unveils-New-iPods/
2003-10-16,2003-10-16,iTunes for Windows,released,Our own Windows software and store access,https://www.apple.com/newsroom/2003/10/16Apple-Launches-iTunes-for-Windows/
2004-01-06,2004-04,iPod mini,initial target,Original international availability plan,https://www.apple.com/newsroom/2004/01/06Apple-Introduces-iPod-mini/
2004-07-07,2004-07-24,iPod mini,revised target,Updated international availability plan,https://www.apple.com/uk/newsroom/2004/07/07Apple-iPod-mini-International-Availability-Set-for-July-24/
2004-07-26,2005-01/2005-06,Motorola iTunes,initial target,First-half 2005 expectation,https://www.apple.com/uk/newsroom/2004/07/26Motorola-and-Apple-Bring-iTunes-Music-Player-to-Motorolas-Next-Generation-Mobile-Phones/
2005-09-07,2005-09-07,Motorola ROKR,released,Actual announcement follows the initial target window,https://www.apple.com/newsroom/2005/09/07Apple-Motorola-Cingular-Launch-Worlds-First-Mobile-Phone-with-iTunes/
2006-01-24,2006-01-24,Pixar acquisition,agreement,Approvals and closing still pending,https://thewaltdisneycompany.com/press-releases/disney-to-acquire-pixar/
2006-05-05,2006-05-05,Pixar acquisition,closed,I join Disney’s board,https://thewaltdisneycompany.com/press-releases/disney-completes-pixar-acquisition/
2007-01-09,2007-06,iPhone,planned availability,US June target; 8GB price $599,https://www.apple.com/newsroom/2007/01/09Apple-Reinvents-the-Phone-with-iPhone/
2007-06-28,2007-06-29,iPhone,scheduled retail opening,6 p.m. local US retail time,https://www.apple.com/newsroom/2007/06/28iPhone-Premieres-This-Friday-Night-at-Apple-Retail-Stores/
2007-09-05,2007-09-05,iPhone,price change,US 8GB price $399,https://www.apple.com/newsroom/2007/09/05Apple-Sets-iPhone-Price-at-399-for-this-Holiday-Season/
2007-09-10,2007-09-09,iPhone,reported result,Millionth sale occurred the day before publication,https://www.apple.com/newsroom/2007/09/10Apple-Sells-One-Millionth-iPhone/
2007-10-17,2008-02,iPhone SDK,future commitment,Native SDK promised; not shipped in this chapter,https://tidbits.com/2007/10/17/steve-jobss-iphone-sdk-letter/
